learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;107;2024-01-14 11:21:31;3,4;3,96;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;108;2024-01-14 11:21:31;3,4;3,96;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;109;2024-01-14 11:21:31;3,4;3,93;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;110;2024-01-14 11:21:31;3,39;4,0;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;111;2024-01-14 11:21:31;3,39;3,93;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;112;2024-01-14 11:21:31;3,39;3,92;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;113;2024-01-14 11:21:31;3,38;3,94;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;114;2024-01-14 11:21:31;3,38;3,92;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;115;2024-01-14 11:21:31;3,38;3,93;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;116;2024-01-14 11:21:31;3,37;3,95;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;117;2024-01-14 11:21:31;3,37;3,94;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;118;2024-01-14 11:21:31;3,37;3,95;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;119;2024-01-14 11:21:31;3,36;3,91;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;120;2024-01-14 11:21:31;3,36;3,9;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;121;2024-01-14 11:21:31;3,36;3,9;0,78
